frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
57,77,49,0.991854199,2.016489049,-21.08687337,27.21907977,7.232375588,0.443370975
57,78,52,0.984808037,2.143789734,-19.83269601,28.71815722,7.526466918,0.443980569
57,79,28,0.98592066,2.301139522,-18.47274831,28.24431833,8.099298399,0.453158355
57,80,10,0.969492674,2.281745807,-18.91022732,26.33666456,7.85065599,0.445512374
57,81,19,0.99140423,2.192873671,-17.34318859,29.83143343,11.35521079,0.446437918
57,82,39,0.986862797,2.197429499,-16.6605203,30.69254276,11.0319237,0.465057421
57,83,49,0.987337928,2.256061949,-16.27558033,30.99884395,10.66782055,0.476326014
57,84,69,0.993083061,2.314323356,-14.88202208,31.59390539,10.66299603,0.48864767
57,85,89,0.989931927,2.156751135,-15.65198124,30.76971565,10.0964387,0.492063635
57,86,49,0.991963428,2.394113954,-14.49443101,30.85901061,9.955459101,0.529363957
57,87,69,0.98928701,2.440121611,-12.19081909,32.65683697,9.650564766,0.534277546
57,88,160,0.986735187,2.512149551,-11.8830351,32.92333982,9.357428865,0.555128932
57,89,69,0.980947272,2.429564576,-13.64392832,32.35574639,9.223950722,0.553991711
58,58,11,0.991919222,1.672628577,-30.96232131,17.89607106,5.765806067,0.350063018
58,60,10,0.966574529,1.709530516,-31.43814061,21.13924038,6.63066931,0.376094709
58,61,22,0.964498781,1.628247076,-32.32829425,20.20920624,5.964740731,0.353928792
58,62,11,0.98569674,1.6078384,-32.50494669,23.39806878,3.386989509,0.402517188
58,64,17,0.976956141,1.790781891,-34.62817758,20.5516877,6.933738545,0.408070179
58,65,12,0.97745319,2.071247646,-34.59918601,20.27506406,11.86881015,0.413566312
58,66,10,0.993256871,1.877881807,-36.45876241,22.42562965,3.220514725,0.369112106
58,68,7,0.994158592,1.986934273,-34.85836333,21.99459531,5.152917435,0.429260792
58,69,40,0.988944796,2.046202812,-32.56148665,22.30655674,7.575128418,0.347131992
58,70,34,0.989920106,2.100158208,-30.08489217,24.18032558,6.525925772,0.326549602
58,71,33,0.986373151,1.970035597,-30.78745573,25.25482225,5.722133224,0.363194391
58,72,42,0.988136315,2.108810872,-31.10788641,25.49209655,4.48680398,0.323160451
58,73,45,0.989230844,2.080978704,-31.70423599,25.28947767,4.30113686,0.352948354
58,74,10,0.988529322,2.098436366,-30.19830819,26.86793666,4.153031316,0.336024302
58,77,22,0.973713502,2.050134651,-24.91898692,25.55092259,6.085499285,0.428501407
59,50,12,0.970494086,1.732649887,-21.03167695,15.43527975,2.46645224,0.50494096
59,51,11,0.983214761,1.752732807,-24.82098299,13.96938553,2.258941535,0.497911716
59,53,11,0.991457958,1.702003882,-26.63196845,18.01461808,2.261645068,0.500983396
59,54,11,0.993039634,1.732841857,-27.73522295,17.38489225,1.970137287,0.500095957
